Date,Open,High,Low,Close,Volume,Max Drawdown,Porfolio Return,Profit,Gross Profit,Average Trade Win,Gross Loss,Average Trade Loss,,,,
28-02-2018,10687.2002,11089.79981,10393.09961,10397.90039,6936189952,6.282351458,-0.030552997,-289.299804,0,,-289.299804,,,696.7002,,
01-03-2018,10385,11052.29981,10352.7002,10951,7317279744,6.329900763,0.053193394,566,566,,0,,,699.59961,,
02-03-2018,10977.40039,11189,10850.09961,11086.40039,7620590080,3.028871123,0.012364203,109,109,,0,,,338.90039,,
03-03-2018,11101.90039,11528.2002,11002.40039,11489.7002,6690570240,4.560987846,0.036377885,387.799804,387.799804,,0,,,525.79981,,
04-03-2018,11497.40039,11512.59961,11136.09961,11512.59961,6084149760,3.27033001,0.001993038,15.199218,15.199218,,0,,,376.5,,
05-03-2018,11532.40039,11704.09961,11443.90039,11573.29981,6468539904,2.22314598,0.005272501,40.899414,40.899414,,0,,,260.19922,,
06-03-2018,11500.09961,11500.09961,10694.29981,10779.90039,6832169984,7.006894091,-0.068554295,-720.199218,0,,-720.199218,,,805.7998,,
07-03-2018,10803.90039,10929.5,9692.120117,9965.570313,8797910016,11.32146835,-0.075541522,-838.330078,0,,-838.330078,,,1237.379883,,
08-03-2018,9951.44043,10147.40039,9335.870117,9395.009766,7186089984,7.997420441,-0.057253176,-556.430664,0,,-556.430664,,,811.530273,,
09-03-2018,9414.69043,9466.349609,8513.030273,9337.549805,8704190464,10.07061196,-0.006116009,-77.140625,0,,-77.140625,,,953.319336,,
10-03-2018,9350.589844,9531.320313,8828.469727,8866,5386319872,7.374115683,-0.050500379,-484.589844,0,,-484.589844,,,702.850586,,
11-03-2018,8852.780273,9711.889648,8607.120117,9578.629883,6296370176,11.37543332,0.080377835,725.84961,725.84961,,0,,,1104.769531,,
12-03-2018,9602.929688,9937.5,8956.429688,9205.120117,6457399808,9.872405655,-0.03899407,-397.809571,0,,-397.809571,,,981.070312,,
13-03-2018,9173.040039,9470.379883,8958.19043,9194.849609,5991139840,5.408330598,-0.001115739,21.80957,21.80957,,0,,,512.189453,,
14-03-2018,9214.650391,9355.849609,8068.589844,8269.80957,6438230016,13.7588762,-0.100604151,-944.840821,0,,-944.840821,,,1287.259765,,
15-03-2018,8290.759766,8428.349609,7783.049805,8300.860352,6834429952,7.656300865,0.003754715,10.100586,10.100586,,0,,,645.299804,,
16-03-2018,8322.910156,8585.150391,8005.310059,8338.349609,5289379840,6.75399155,0.00451631,15.439453,15.439453,,0,,,579.840332,,
17-03-2018,8321.910156,8346.530273,7812.819824,7916.879883,4426149888,6.394399008,-0.050545941,-405.030273,0,,-405.030273,,,533.710449,,
18-03-2018,7890.52002,8245.509766,7397.990234,8223.679688,6639190016,10.27855834,0.038752616,333.159668,333.159668,,0,,,847.519532,,
19-03-2018,8344.120117,8675.870117,8182.399902,8630.650391,6729110016,5.687846963,0.049487665,286.530274,286.530274,,0,,,493.470215,,
20-03-2018,8619.669922,9051.019531,8389.889648,8913.469727,6361789952,7.304479686,0.03276918,293.799805,293.799805,,0,,,661.129883,,
21-03-2018,8937.480469,9177.370117,8846.330078,8929.280273,6043129856,3.607134013,0.001773781,-8.200196,0,,-8.200196,,,331.040039,,
22-03-2018,8939.44043,9100.709961,8564.900391,8728.469727,5530390016,5.887557919,-0.022488996,-210.970703,0,,-210.970703,,,535.80957,,
23-03-2018,8736.25,8879.620117,8360.620117,8879.620117,5954120192,5.844844635,0.01731694,143.370117,143.370117,,0,,,519,,
24-03-2018,8901.950195,8996.179688,8665.700195,8668.120117,5664600064,3.673553713,-0.023818587,-233.830078,0,,-233.830078,,,330.479493,,
25-03-2018,8612.80957,8682.009766,8449.099609,8495.780273,4569880064,2.682675593,-0.019882032,-117.029297,0,,-117.029297,,,232.910157,,
26-03-2018,8498.469727,8530.080078,7921.430176,8209.400391,5921039872,7.135336321,-0.033708485,-289.069336,0,,-289.069336,,,608.649902,,
27-03-2018,8200,8232.780273,7797.279785,7833.040039,5378250240,5.289834947,-0.045845048,-366.959961,0,,-366.959961,,,435.500488,,
28-03-2018,7836.830078,8122.890137,7809.169922,7954.47998,4935289856,3.862174789,0.015503552,117.649902,117.649902,,0,,,313.720215,,
29-03-2018,7979.069824,7994.330078,7081.379883,7165.700195,6361229824,11.41997123,-0.099161703,-813.369629,0,,-813.369629,,,912.950195,,
30-03-2018,7171.450195,7276.660156,6683.930176,6890.52002,6289509888,8.1456323,-0.038402413,-280.930175,0,,-280.930175,,,592.72998,,
31-03-2018,6892.47998,7207.850098,6863.52002,6973.529785,4553269760,4.777153705,0.012046952,81.049805,81.049805,,0,,,344.330078,,
01-04-2018,7003.060059,7060.950195,6526.870117,6844.22998,4532100096,7.563855618,-0.018541515,-158.830079,0,,-158.830079,,,534.080078,,
02-04-2018,6844.859863,7135.470215,6816.580078,7083.799805,4333440000,4.46908371,0.035003182,238.939942,238.939942,,0,,,318.890137,,
03-04-2018,7102.259766,7530.939941,7072.490234,7456.109863,5499700224,6.087549636,0.052557959,353.850097,353.850097,,0,,,458.449707,,
04-04-2018,7456.410156,7469.879883,6803.879883,6853.839844,4936000000,8.915806016,-0.080775368,-602.570312,0,,-602.570312,,,666,,
05-04-2018,6848.649902,6933.819824,6644.799805,6811.470215,5639320064,4.168265492,-0.006181882,-37.179687,0,,-37.179687,,,289.020019,,
06-04-2018,6815.959961,6857.490234,6575,6636.319824,3766810112,4.119440559,-0.025714036,-179.640137,0,,-179.640137,,,282.490234,,
07-04-2018,6630.509766,7050.540039,6630.509766,6911.089844,3976610048,5.957419867,0.041403975,280.580078,280.580078,,0,,,420.030273,,
08-04-2018,6919.97998,7111.560059,6919.97998,7023.52002,3652499968,2.693924785,0.016268082,103.54004,103.54004,,0,,,191.580079,,
09-04-2018,7044.319824,7178.109863,6661.990234,6770.72998,4894060032,7.190188488,-0.03599193,-273.589844,0,,-273.589844,,,516.119629,,
10-04-2018,6795.439941,6872.410156,6704.149902,6834.759766,4272750080,2.448344179,0.009456851,39.319825,39.319825,,0,,,168.260254,,
11-04-2018,6843.470215,6968.319824,6817.589844,6968.319824,4641889792,2.163074942,0.019541295,124.849609,124.849609,,0,,,150.72998,,
12-04-2018,6955.379883,7899.22998,6806.509766,7889.25,8906250240,13.83324978,0.132159574,933.870117,933.870117,,0,,,1092.720214,,
13-04-2018,7901.089844,8183.959961,7758.930176,7895.959961,7764460032,5.193448979,0.00085052,-5.129883,0,,-5.129883,,,425.029785,,
14-04-2018,7874.669922,8140.709961,7846,7986.240234,5191430144,3.620199742,0.01143373,111.570312,111.570312,,0,,,294.709961,,
15-04-2018,7999.330078,8338.419922,7999.330078,8329.110352,5244480000,4.066595916,0.042932608,329.780274,329.780274,,0,,,339.089844,,
