Date,Open,High,Low,Close,Volume,Max Drawdown
01-02-2022,38481.76563,39115.13281,38113.66406,38743.27344,20288500328,2.560310238
02-02-2022,38743.71484,38834.61719,36832.73047,36952.98438,19155189416,5.154902674
03-02-2022,36944.80469,37154.60156,36375.53906,37154.60156,18591534769,2.096812958
04-02-2022,37149.26563,41527.78516,37093.62891,41500.875,29412210792,10.67756499
05-02-2022,41501.48047,41847.16406,41038.09766,41441.16406,19652846215,1.933384061
06-02-2022,41441.12109,42500.78516,41244.90625,42412.43359,16142097334,2.954954609
07-02-2022,42406.78125,44401.86328,41748.15625,43840.28516,28641855926,5.976566824
08-02-2022,43854.65234,45293.86719,42807.83594,44118.44531,33079398868,5.488670772
09-02-2022,44096.70313,44727.80078,43232.96875,44338.79688,23245887300,3.342064676
10-02-2022,44347.80078,45661.17188,43402.80859,43565.11328,32142048537,4.945916184
11-02-2022,43571.12891,43810.83203,42114.53906,42407.9375,26954925781,3.871857464
12-02-2022,42412.30078,42992.55078,41852.57422,42244.46875,18152390304,2.65156763
13-02-2022,42236.56641,42693.05469,41950.94141,42197.51563,14741589015,1.738252944
14-02-2022,42157.39844,42775.77734,41681.95703,42586.91797,20827783012,2.557102122
15-02-2022,42586.46484,44667.21875,42491.03516,44575.20313,22721659051,4.871992595
16-02-2022,44578.27734,44578.27734,43456.69141,43961.85938,19792547657,2.515992086
17-02-2022,43937.07031,44132.97266,40249.37109,40538.01172,26246662813,8.799773357
18-02-2022,40552.13281,40929.15234,39637.61719,40030.97656,23310007704,3.155538476
19-02-2022,40026.02344,40418.87891,39713.05859,40122.15625,13736557863,1.746263971
20-02-2022,40118.10156,40119.89063,38112.8125,38431.37891,18340576452,5.002700901
21-02-2022,38423.21094,39394.4375,36950.47656,37075.28125,29280402798,6.203822405
22-02-2022,37068.76953,38359.85547,36488.93359,38286.02734,25493150450,4.877291265
23-02-2022,38285.28125,39122.39453,37201.81641,37296.57031,21849073843,4.909152783
24-02-2022,37278.56641,38968.83984,34459.21875,38332.60938,46383802093,11.57237708
25-02-2022,38333.74609,39630.32422,38111.34375,39214.21875,26545599159,3.832874194
26-02-2022,39213.08203,40005.34766,38702.53516,39105.14844,17467554129,3.256595871
27-02-2022,39098.69922,39778.94141,37268.97656,37709.78516,23450127612,6.309782918
28-02-2022,37706,43760.45703,37518.21484,43193.23438,35690014104,14.26457266
01-03-2022,43194.50391,44793.60156,42952.58594,44354.63672,32479047645,4.109996865
02-03-2022,44357.61719,45077.57813,43432.85156,43924.11719,29183112630,3.648657799
03-03-2022,43925.19531,44021.57813,41914.75,42451.78906,24967782593,4.785898688
04-03-2022,42458.14063,42479.61328,38805.84766,39137.60547,28516271427,8.648302883
05-03-2022,39148.44922,39566.33594,38777.03516,39400.58594,16975917450,1.99487964
06-03-2022,39404.19922,39640.17578,38211.64844,38419.98438,19745229902,3.603736139
07-03-2022,38429.30469,39430.22656,37260.20313,38062.03906,28546143503,5.503451589
08-03-2022,38059.90234,39304.44141,37957.38672,38737.26953,25776583476,3.427232755
09-03-2022,38742.81641,42465.67188,38706.09375,41982.92578,32284121034,8.853217113
10-03-2022,41974.07031,42004.72656,38832.94141,39437.46094,31078064711,7.551019635
11-03-2022,39439.96875,40081.67969,38347.43359,38794.97266,26364890465,4.326779999
12-03-2022,38794.46484,39308.59766,38772.53516,38904.01172,14616450657,1.363728375
13-03-2022,38884.72656,39209.35156,37728.14453,37849.66406,17300745310,3.777688156
14-03-2022,37846.31641,39742.5,37680.73438,39666.75391,24322159070,5.187810581
15-03-2022,39664.25,39794.62891,38310.21094,39338.78516,23934000868,3.73019679
16-03-2022,39335.57031,41465.45313,39022.34766,41143.92969,39616916192,5.891905877
17-03-2022,41140.84375,41287.53516,40662.87109,40951.37891,22009601093,1.512960431
18-03-2022,40944.83984,42195.74609,40302.39844,41801.15625,34421564942,4.487058117
19-03-2022,41794.64844,42316.55469,41602.66797,42190.65234,19664853187,1.687015224
20-03-2022,42191.40625,42241.16406,41004.75781,41247.82422,20127946682,2.927017466
21-03-2022,41246.13281,41454.41016,40668.04297,41077.99609,24615543271,1.896944588
22-03-2022,41074.10547,43124.70703,40948.28125,42358.80859,32004652376,5.046818703
23-03-2022,42364.37891,42893.50781,41877.50781,42892.95703,25242943069,2.368656824
24-03-2022,42886.65234,44131.85547,42726.16406,43960.93359,31042992291,3.185208043
25-03-2022,43964.54688,44999.49219,43706.28516,44348.73047,30574413034,2.87382583
26-03-2022,44349.85938,44735.99609,44166.27344,44500.82813,16950455995,1.273521772
27-03-2022,44505.35547,46827.54688,44437.29297,46820.49219,28160889722,5.10437567
28-03-2022,46821.85156,48086.83594,46690.20313,47128.00391,36362175703,2.904397394
29-03-2022,47100.4375,48022.28906,47100.4375,47465.73047,31397059069,1.919632691
30-03-2022,47456.89844,47655.14844,46746.21094,47062.66406,29333883962,1.907322776
31-03-2022,47062.14844,47512.02734,45390.53906,45538.67578,33327427106,4.465160505
01-04-2022,45554.16406,46616.24219,44403.14063,46281.64453,38162644287,4.747490265
02-04-2022,46285.5,47028.28125,45782.51172,45868.94922,29336594194,2.648979501
03-04-2022,45859.12891,47313.47656,45634.10547,46453.56641,25414397610,3.549456121
04-04-2022,46445.27344,46791.08984,45235.81641,46622.67578,32499785455,3.323866649
05-04-2022,46624.50781,47106.14063,45544.80859,45555.99219,29640604055,3.314497896
06-04-2022,45544.35547,45544.35547,43193.95313,43206.73828,39393395788,5.160688555
07-04-2022,43207.5,43860.69922,42899.90625,43503.84766,26101973106,2.190555525
08-04-2022,43505.13672,43903.01953,42183.28906,42287.66406,27215995394,3.917112054
09-04-2022,42282.07813,42786.81641,42183.25391,42782.13672,16050772496,1.410627269
10-04-2022,42781.08984,43376.37891,42021.20703,42207.67188,17654475582,3.124216253
11-04-2022,42201.03906,42424.58984,39373.05859,39521.90234,33949912166,7.192836187
12-04-2022,39533.71484,40617.58594,39388.32813,40127.18359,30991500854,3.0264177
13-04-2022,40123.57031,41430.05469,39712.74609,41166.73047,27691105228,4.145079249
14-04-2022,41160.21875,41451.48047,39695.74609,39935.51563,24342001973,4.235637328
15-04-2022,39939.40234,40617.72266,39866.83203,40553.46484,21756855753,1.848677328
16-04-2022,40552.31641,40633.67969,40078.42578,40424.48438,16833150693,1.3664869
17-04-2022,40417.77734,40570.72656,39620.89453,39716.95313,19087633042,2.341175795
18-04-2022,39721.20313,40986.32031,38696.19141,40826.21484,33705182072,5.587544534
19-04-2022,40828.17578,41672.96094,40618.63281,41502.75,25303206547,2.530005323
20-04-2022,41501.74609,42126.30078,40961.09766,41374.37891,27819532341,2.765975408
21-04-2022,41371.51563,42893.58203,40063.82813,40527.36328,35372786395,6.597149891
22-04-2022,40525.86328,40777.75781,39315.41797,39740.32031,28011716745,3.586121255
23-04-2022,39738.72266,39935.85938,39352.20313,39486.73047,16138021249,1.461484137
24-04-2022,39478.375,39845.92578,39233.53906,39469.29297,17964398167,1.536886665
25-04-2022,39472.60547,40491.75391,38338.37891,40458.30859,35445730570,5.318058103
26-04-2022,40448.42188,40713.89063,37884.98438,38117.46094,34569088416,6.948258214
27-04-2022,38120.30078,39397.91797,37997.3125,39241.12109,30981015184,3.555024078
28-04-2022,39241.42969,40269.46484,38941.42188,39773.82813,33903704907,3.29789076
29-04-2022,39768.61719,39887.26953,38235.53516,38609.82422,30882994649,4.141006365
30-04-2022,38605.85938,38771.21094,37697.94141,37714.875,23895713731,2.768212558
01-05-2022,37713.26563,38627.85938,37585.78906,38469.09375,27002760110,2.697716976
02-05-2022,38472.1875,39074.97266,38156.5625,38529.32813,32922642426,2.350379533
03-05-2022,38528.10938,38629.99609,37585.62109,37750.45313,27326943244,2.703533797
04-05-2022,37748.01172,39902.94922,37732.05859,39698.37109,36754404490,5.440426516
05-05-2022,39695.74609,39789.28125,35856.51563,36575.14063,43106256317,9.883982561
06-05-2022,36573.18359,36624.35938,35482.13281,36040.92188,37795577489,3.11876191
07-05-2022,36042.50391,36129.92578,34940.82422,35501.95313,24375896406,3.291181851
08-05-2022,35502.94141,35502.94141,33878.96484,34059.26563,36763041910,4.574202884
09-05-2022,34060.01563,34222.07422,30296.95313,30296.95313,63355494961,11.46955928
10-05-2022,30273.6543,32596.30859,29944.80273,31022.90625,59811038817,8.134374641
11-05-2022,31016.18359,32013.40234,28170.41406,28936.35547,70388855818,12.00431069
12-05-2022,28936.73438,30032.43945,26350.49023,29047.75195,66989173272,12.25990725
