Date,Open,High,Low,Close,Volume,Max Drawdown
01-01-2023,16547.91406,16630.43945,16521.23438,16625.08008,9244361700,0.656657753
02-01-2023,16625.50977,16759.34375,16572.22852,16688.4707,12097775227,1.116483037
03-01-2023,16688.84766,16760.44727,16622.37109,16679.85742,13903079207,0.823821571
04-01-2023,16680.20508,16964.58594,16667.76367,16863.23828,18421743322,1.749658206
05-01-2023,16863.47266,16884.02148,16790.2832,16836.73633,13692758566,0.555189296
06-01-2023,16836.47266,16991.99414,16716.42188,16951.96875,14413662913,1.621777042
07-01-2023,16952.11719,16975.01758,16914.19141,16955.07813,7714767174,0.358327582
08-01-2023,16954.14648,17091.14453,16924.05078,17091.14453,9768827914,0.977662729
09-01-2023,17093.99219,17389.95703,17093.99219,17196.55469,18624736866,1.70192968
10-01-2023,17192.94922,17484.7207,17162.99023,17446.29297,15808338949,1.840066396
11-01-2023,17446.35938,17934.89648,17337.99414,17934.89648,18372283782,3.328161613
12-01-2023,18117.59375,19030.08789,17995.20313,18869.58789,34971338710,5.438150186
13-01-2023,18868.90625,19964.32227,18753.16406,19909.57422,29225029694,6.066613199
14-01-2023,19910.53711,21075.14258,19907.82813,20976.29883,38967784639,5.538821128
15-01-2023,20977.48438,20993.74805,20606.98633,20880.79883,19298407543,1.842270942
16-01-2023,20882.22461,21360.875,20715.74609,21169.63281,26792494050,3.020142714
17-01-2023,21175.83398,21438.66016,20978.5332,21161.51953,24999983362,2.146248677
18-01-2023,21161.05078,21564.50195,20541.54492,20688.78125,30005625418,4.74370812
19-01-2023,20686.74609,21163.01172,20685.38086,21086.79297,21152848261,2.25691346
20-01-2023,21085.37305,22692.35742,20919.12695,22676.55273,28799154319,7.814218845
21-01-2023,22677.42773,23282.34766,22511.83398,22777.625,32442278429,3.309432929
22-01-2023,22777.98633,23056.73047,22387.90039,22720.41602,24746386230,2.900801919
23-01-2023,22721.08789,23126.48633,22654.30469,22934.43164,26518700512,2.041735321
24-01-2023,22929.62695,23134.01172,22549.74414,22636.46875,26405069715,2.5255783
25-01-2023,22639.26758,23722.09961,22406.07617,23117.85938,30685366709,5.547668468
26-01-2023,23108.95508,23237.07813,22911.37305,23032.77734,26357839322,1.401661079
27-01-2023,23030.7168,23417.7207,22654.59375,23078.72852,25383335641,3.258758441
28-01-2023,23079.96484,23165.89648,22908.8457,23031.08984,14712928379,1.109608602
29-01-2023,23031.44922,23919.89063,22985.07031,23774.56641,27423687259,3.908129575
30-01-2023,23774.64844,23789.34766,22657.58203,22840.13867,27205595568,4.757447098
31-01-2023,22840.79688,23225.02148,22765.56836,23139.2832,22837828665,1.978267794
01-02-2023,23137.83594,23764.53906,22877.75,23723.76953,26683255504,3.731564318
02-02-2023,23720.82422,24167.21094,23468.5957,23471.87109,32066936882,2.890756578
03-02-2023,23469.41211,23678.10352,23279.95508,23449.32227,27083066007,1.681504769
04-02-2023,23446.32031,23556.94922,23291.79492,23331.84766,15639298538,1.125588452
05-02-2023,23332.24805,23423.43555,22841.75977,22955.66602,19564262605,2.483306852
06-02-2023,22954.02148,23119.2793,22692.02539,22760.10938,23825006542,1.848041647
07-02-2023,22757.26758,23310.97461,22756.25781,23264.29102,27187964471,2.379637957
08-02-2023,23263.41602,23367.95898,22731.09766,22939.39844,25371367758,2.72536134
09-02-2023,22946.56641,22996.4375,21773.97461,21819.03906,32572572185,5.315879427
10-02-2023,21819.00586,21941.18555,21539.39258,21651.18359,27078406594,1.831227256
11-02-2023,21651.8418,21891.41016,21618.44922,21870.875,16356226232,1.246886053
12-02-2023,21870.90234,22060.99414,21682.82813,21788.20313,17821046406,1.714183901
13-02-2023,21787,21898.41406,21460.08789,21808.10156,23918742607,2.001634314
14-02-2023,21801.82227,22293.14063,21632.39453,22220.80469,26792596581,2.963898676
15-02-2023,22220.58594,24307.8418,22082.76953,24307.8418,32483312909,9.153722031
16-02-2023,24307.34961,25134.11719,23602.52344,23623.47461,39316664596,6.093684287
17-02-2023,23621.2832,24924.04102,23460.75586,24565.60156,41358451255,5.870978782
18-02-2023,24565.29688,24798.83594,24468.37305,24641.27734,19625427158,1.332574201
19-02-2023,24640.02734,25093.05469,24327.64258,24327.64258,25555105670,3.050294671
20-02-2023,24336.62305,25020.45898,23927.91016,24829.14844,28987376573,4.366621815
21-02-2023,24833.04883,25126.85156,24200.36328,24436.35352,31252098714,3.687243815
22-02-2023,24437.41797,24472.33984,23644.31836,24188.84375,30199996781,3.383499434
23-02-2023,24190.71875,24572.08984,23693.91992,23947.49219,30476264066,3.573851169
24-02-2023,23946.00781,24103.70508,23007.07227,23198.12695,26811744928,4.549644158
25-02-2023,23200.125,23210.21094,22861.55859,23175.375,16100721565,1.502150717
26-02-2023,23174.15039,23654.36719,23084.2207,23561.21289,16644534842,2.410322311
27-02-2023,23561.45117,23857.89063,23205.87891,23522.87109,22660763494,2.732897598
28-02-2023,23521.83789,23585.38477,23077.65039,23147.35352,20535363434,2.15275004
01-03-2023,23150.92969,23880.63281,23088.62695,23646.55078,24662841200,3.316519568
02-03-2023,23647.01953,23739.13867,23245.02148,23475.4668,20386398516,2.081445316
03-03-2023,23476.63281,23479.34766,22213.23828,22362.67969,26062404610,5.392438488
04-03-2023,22362.92383,22405.17773,22198.98047,22353.34961,11166012913,0.920310754
05-03-2023,22354.14453,22613.68555,22307.14258,22435.51367,13317001733,1.355563954
06-03-2023,22436.81641,22584.29297,22331.31445,22429.75781,17353192895,1.12015249
07-03-2023,22428.32227,22527.41797,22011.26172,22219.76953,22765452204,2.291235732
08-03-2023,22216.44141,22268.89648,21708.05078,21718.08008,22536575684,2.518515906
09-03-2023,21720.08008,21802.7168,20210.30664,20363.02148,30364664171,7.303723543
10-03-2023,20367.00195,20370.5957,19628.25391,20187.24414,39578257695,3.644183022
11-03-2023,20187.87695,20792.52539,20068.66016,20632.41016,30180288176,3.481372351
12-03-2023,20628.0293,22185.03125,20448.80664,22163.94922,29279035521,7.826108471
13-03-2023,22156.40625,24550.83789,21918.19922,24197.5332,49466362688,10.72321312
14-03-2023,24201.76563,26514.7168,24081.18359,24746.07422,54622230164,9.178047152
15-03-2023,24770.92578,25240.61523,23964.91016,24375.96094,43655701450,5.054175813
16-03-2023,24373.45703,25190.32617,24225.11133,25052.78906,33866061747,3.831688536
17-03-2023,25055.12305,27787.8125,24955.16992,27423.92969,50730261335,10.19383077
18-03-2023,27448.11719,27725.95313,26636.26172,26965.87891,35723036817,3.930221641
19-03-2023,26969.50391,28440.56055,26907.7168,28038.67578,37769448859,5.389639727
20-03-2023,28041.60156,28527.72461,27242.88086,27767.23633,44774027664,4.503842376
21-03-2023,27768.39258,28439.5625,27439.64648,28175.81641,36102192830,3.5159332
22-03-2023,28158.7207,28803.33594,26759.99609,27307.4375,33382021890,7.094108315
23-03-2023,27301.95703,28729.84375,27183.36328,28333.97266,24220433689,5.382836341
24-03-2023,28324.11133,28388.4375,27039.26563,27493.28516,25980310960,4.752540079
25-03-2023,27487.33789,27791.82617,27196.23438,27494.70703,13383005987,2.143046615
26-03-2023,27495.52344,28178.14453,27445.04688,27994.33008,13878363192,2.601653381
27-03-2023,27994.06836,28037.92578,26606.68945,27139.88867,18188895178,5.104644121
28-03-2023,27132.88867,27460.71875,26677.81836,27268.13086,17783600385,2.850982879
29-03-2023,27267.03125,28619.54297,27259.66211,28348.44141,20684945906,4.751581328
30-03-2023,28350.14063,29159.90234,27720.16016,28033.5625,22435349951,4.937403984
31-03-2023,28032.26172,28639.89648,27583.71484,28478.48438,19001327598,3.687798386
01-04-2023,28473.33203,28802.45703,28297.17188,28411.03516,10876469901,1.75431266
02-04-2023,28462.8457,28518.95898,27884.08789,28199.30859,12284641999,2.226136972
03-04-2023,28183.08008,28475.62305,27276.7207,27790.2207,19556501327,4.210276094
04-04-2023,27795.27344,28433.74219,27681.30469,28168.08984,15284538859,2.646283753
05-04-2023,28169.72656,28739.23828,27843.76367,28177.98438,17052315986,3.115860627
06-04-2023,28175.22656,28178.38477,27738.75977,28044.14063,13837809380,1.560149752
07-04-2023,28038.9668,28111.59375,27794.03125,27925.85938,10861680497,1.129649577
08-04-2023,27920.51367,28159.86328,27883.38672,27947.79492,9373255556,0.981810733
09-04-2023,27952.36719,28532.83008,27828.48047,28333.05078,12175322951,2.468558527
10-04-2023,28336.02734,29771.46484,28189.27148,29652.98047,19282400094,5.314462585
11-04-2023,29653.67969,30509.08398,29609.30078,30235.05859,20121259843,2.949230467
12-04-2023,30231.58203,30462.48047,29725.57422,30139.05273,18651929926,2.419061871
13-04-2023,29892.74023,30539.8457,29878.62305,30399.06641,17487721001,2.165114574
14-04-2023,30409.5625,31005.60742,30044.49805,30485.69922,22659995079,3.099792102
15-04-2023,30490.75,30601.74023,30245.88281,30318.49609,11940685378,1.162866613
16-04-2023,30315.97656,30555.53711,30157.83203,30315.35547,12854816417,1.301581048
17-04-2023,30317.14648,30319.19727,29275.37109,29445.04492,17872186762,3.442789632
18-04-2023,29449.0918,30470.30273,29154.84961,30397.55273,19480529496,4.31716459
19-04-2023,30394.1875,30411.05469,28669.89844,28822.67969,24571565421,5.725405672
20-04-2023,28823.68359,29076.40039,28037.25781,28245.98828,21340360360,3.573835021
21-04-2023,28249.23047,28349.96875,27177.36523,27276.91016,20759504330,4.136172178
22-04-2023,27265.89453,27872.14258,27169.57031,27817.5,13125734602,2.520697029
23-04-2023,27816.14453,27820.24414,27400.31445,27591.38477,12785446832,1.50943927
24-04-2023,27591.73047,27979.98242,27070.84961,27525.33984,17703288330,3.249225808
25-04-2023,27514.87305,28371.07813,27207.93164,28307.59766,17733373139,4.09976133
26-04-2023,28300.05859,29995.83789,27324.54883,28422.70117,31854242019,8.905532394
27-04-2023,28428.46484,29871.54688,28402.88672,29473.78711,27153445027,4.916585558
28-04-2023,29481.01367,29572.79102,28929.60938,29340.26172,17544464887,2.174910172
29-04-2023,29336.56641,29452.45508,29088.04297,29248.48828,10662634333,1.237289418
30-04-2023,29245.51563,29952.0293,29114.02148,29268.80664,14652199272,2.797833201
01-05-2023,29227.10352,29329.93555,27680.79297,28091.56836,18655599976,5.622728278
02-05-2023,28087.17578,28881.29883,27924.12305,28680.53711,16432924527,3.314171519
03-05-2023,28680.49414,29259.5332,28178.38867,29006.30859,19122972518,3.695016331
04-05-2023,29031.30469,29353.18555,28694.03906,28847.71094,15548678514,2.245570549
05-05-2023,28851.48047,29668.9082,28845.50977,29534.38477,17936566518,2.775290632
06-05-2023,29538.85938,29820.12695,28468.9668,28904.62305,15913866714,4.531034198
07-05-2023,28901.62305,29157.51758,28441.36719,28454.97852,11301355486,2.456143216
08-05-2023,28450.45703,28663.27148,27310.13477,27694.27344,19122903752,4.720803454
09-05-2023,27695.06836,27821.40039,27375.60156,27658.77539,14128593256,1.60235942
10-05-2023,27654.63672,28322.6875,26883.66992,27621.75586,20656025026,5.08079461
11-05-2023,27621.08594,27621.94141,26781.82617,27000.78906,16724343943,3.041477887
12-05-2023,26987.66211,27055.64648,25878.42969,26804.99023,19313599897,4.351094663
13-05-2023,26807.76953,27030.48242,26710.87305,26784.07813,9999171605,1.182403499
14-05-2023,26788.97461,27150.97656,26661.35547,26930.63867,10014858959,1.803327733
15-05-2023,26931.38477,27646.34766,26766.09766,27192.69336,14413231792,3.18396488
16-05-2023,27171.51367,27299.30469,26878.94727,27036.65039,12732238816,1.539809987
17-05-2023,27035.4707,27465.92773,26600.14453,27398.80273,15140006925,3.152208105
18-05-2023,27401.65039,27466.52734,26415.10156,26832.20898,15222938600,3.828025899
19-05-2023,26826.75391,27128.61914,26700.21094,26890.12891,11258983301,1.579174369
20-05-2023,26888.8418,27155.1582,26843.27734,27129.58594,7044911360,1.148514244
21-05-2023,27118.42383,27265.91797,26706.92188,26753.82617,8647416921,2.050164204
22-05-2023,26749.89258,27045.73438,26549.73438,26851.27734,11056770492,1.833930604
23-05-2023,26855.96094,27434.68359,26816.17969,27225.72656,13697203143,2.254459753
24-05-2023,27224.60352,27224.60352,26106.57617,26334.81836,16299104428,4.106680008
25-05-2023,26329.46094,26591.51953,25890.59375,26476.20703,13851122697,2.635899687
26-05-2023,26474.18164,26916.66992,26343.94922,26719.29102,12711619225,2.127754665
27-05-2023,26720.18164,26888.88281,26621.14063,26868.35352,7892015141,0.995735605
28-05-2023,26871.1582,28193.44922,26802.75195,28085.64648,14545229578,4.932696454
29-05-2023,28075.5918,28432.03906,27563.87695,27745.88477,15181308984,3.053464115
30-05-2023,27745.12305,28044.75977,27588.50195,27702.34961,13251081851,1.626891525
31-05-2023,27700.5293,27831.67773,26866.45313,27219.6582,15656371534,3.468079105
01-06-2023,27218.41211,27346.10547,26671.7207,26819.97266,14678970415,2.466109007
02-06-2023,26824.55664,27303.86133,26574.64453,27249.58984,14837415000,2.670746057
03-06-2023,27252.32422,27317.05273,26958.00391,27075.12891,8385597470,1.314376128
04-06-2023,27075.12305,27407.01953,26968.22461,27119.06641,9360912318,1.60103115
05-06-2023,27123.10938,27129.98242,25445.16797,25760.09766,21513292646,6.210156807
06-06-2023,25732.10938,27313.82031,25434.86719,27238.7832,21929670693,6.879129681
07-06-2023,27235.65039,27332.18164,26146.98828,26345.99805,19530045082,4.336255977
08-06-2023,26347.6543,26797.51367,26246.66406,26508.2168,11904824295,2.055599698
09-06-2023,26505.92383,26770.28906,26339.31445,26480.375,11015551640,1.609898978
10-06-2023,26481.76172,26531.04492,25501.83594,25851.24023,19872933189,3.87926289
11-06-2023,25854.03125,26203.43945,25668.98633,25940.16797,10732609603,2.039629649
12-06-2023,25934.28516,26087.91992,25675.19727,25902.5,11677889997,1.582045066
13-06-2023,25902.94141,26376.35156,25728.36523,25918.72852,14143474486,2.456694318
14-06-2023,25920.25781,26041.80078,24902.15234,25124.67578,14265717766,4.376227472
15-06-2023,25121.67383,25735.30859,24797.16797,25576.39453,15837384409,3.645344359
16-06-2023,25575.2832,26463.17383,25245.35742,26327.46289,16324646965,4.60192877
17-06-2023,26328.67969,26769.39453,26174.49219,26510.67578,11090276850,2.222322733
18-06-2023,26510.45703,26675.92578,26325.89063,26336.21289,9565695129,1.312176203
19-06-2023,26335.44141,26984.61133,26312.83203,26851.0293,12826986222,2.489490368
20-06-2023,26841.66406,28388.96875,26668.79102,28327.48828,22211859147,6.059317424
21-06-2023,28311.31055,30737.33008,28283.41016,30027.29688,33346760979,7.98351683
22-06-2023,29995.93555,30495.99805,29679.1582,29912.28125,20653160491,2.678514895
23-06-2023,29896.38281,31389.53906,29845.21484,30695.46875,24115570085,4.919869059
24-06-2023,30708.73828,30804.14844,30290.14648,30548.69531,12147822496,1.668612788
25-06-2023,30545.15039,31041.27148,30327.94336,30480.26172,12703464114,2.297999038
26-06-2023,30480.52344,30636.0293,29955.74414,30271.13086,16493186997,2.220539592
